;id;timestamp;Linear Regression;Logistic Regression;Nearest Neighbors;RBF SVM;Linear SVM;Decision Tree;Random Forest;Neural Net;AdaBoost;Naive Bayes;QDA
0;866668290290184192;2017_06_08 15:46:23;[ 0.99395603];[1];[1];[2];[-3161.15805546];[1];[2];[2];[1];[1];[1]
0;866630898715947009;2017_06_08 15:46:24;[ 0.95601975];[1];[1];[2];[-281.66052885];[1];[2];[2];[1];[2];[1]
0;869132139186573312;2017_06_08 15:46:26;[ 1.22691174];[1];[1];[2];[ 2.08359226];[1];[2];[2];[1];[1];[1]
0;860779411116888064;2017_06_08 15:46:27;[ 1.13179098];[1];[2];[2];[ 2.20462051];[1];[2];[2];[2];[1];[1]
0;869140128438136832;2017_06_08 15:46:28;[ 1.34842687];[2];[1];[2];[ 2.41675586];[1];[2];[2];[2];[2];[1]
0;866661103203360768;2017_06_08 15:46:00;[ 0.85786112];[2];[2];[2];[ 4.037496];[1];[2];[1];[1];[1];[1]
0;866668601419456512;2017_06_08 15:46:01;[ 0.87876515];[2];[1];[2];[-131.58214229];[1];[2];[1];[1];[1];[1]
0;866668290290184192;2017_06_08 15:46:02;[ 1.00321709];[1];[1];[2];[-797.02970062];[1];[1];[1];[1];[1];[1]
0;866630898715947009;2017_06_08 15:46:03;[ 0.92896623];[2];[1];[2];[-67.29790706];[1];[2];[1];[1];[2];[1]
0;869132139186573312;2017_06_08 15:46:03;[ 1.19817442];[2];[2];[2];[ 4.40333792];[1];[2];[2];[1];[1];[1]
